Id	Description	Qty	Unit	Designators
1	Cable, 3 wires	0	m	
2	Cable, 5 wires	0	m	
3	Connector, Arduino MCU, 4 pins	1		Trigger
4	Connector, MLAB GPS02B, x, 6 pins	1		GPS
5	Connector, Turris omnia, GPIO, 20 pins	1		O
6	Connector, UST RSMS02, TTL-LVDS, 4 pins	1		RSMS
